"WARNING: This file is auto-generated from schematic, do not edit manually!"
Component,Value,Manufacturer Part Number,Supplier Part Number,Description,Notes
C1,"1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
C2,"1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
C3,"1206-10U-35V 10u 35V","1206 10uF 35V 10% X7R","standard",,
C4,"0603-100N 100n","0603 100nF 50V 10% X7R","standard",,
C5,"0603-100N 100n","0603 100nF 50V 10% X7R","standard",,
D1,,"Cree JB5630AWT-C0-0000-000A0UC430E","Farnell 2853292",,
D2,,"0603 orange","Farnell 2687484",,
D3,,"0603 green","Farnell 2687486",,
D4,,"Nexperia BZX84-A3V3","Farnell 2463632",,
D5,,"0603 red","Farnell 2687488",,
J1,,"Molex 10544301-1101","Farnell 2500017",,
J2,,"AVX 009155003301006","Digi-key 478-4687-1-ND",,
J3,,"PIC-ICSP-TH-RA PIC-ICSP-TH-RA",,,"Do not populate"
J4,,"PINHEAD-2-SQUARE PINHEAD-2-SQUARE",,,"Do not populate"
JP1,,"SOLDER-JUMPER-1MM-SQUARE SOLDER-JUMPER-1-1",,,"Bridge"
JP2,,"SOLDER-JUMPER-1MM-SQUARE SOLDER-JUMPER-1-1",,,"Do not populate"
JP3,,"SOLDER-JUMPER-1MM-SQUARE SOLDER-JUMPER-1-1",,,"Do not populate"
Q1,,"Diodes Inc DMP2035U","Farnell 2061419",,
Q2,,"Diodes Inc DMP2035U","Farnell 2061419",,
Q3,,"Diodes Inc DMP2035U","Farnell 2061419",,
R1,"0603-1%-330R 330R","0603 330R 1% 100mW","standard",,
R2,"0603-1%-330R 330R","0603 330R 1% 100mW","standard",,
R3,"0603-1%-3K9 3K9","0603 3K9 1% 100mW","standard",,
R4,"0603-1%-22K 22K","0603 22K 1% 100mW","standard",,
R5,"0603-1%-22K 22K","0603 22K 1% 100mW","standard",,
R6,"0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
R7,"0603-1%-680K 680K","0603 680K 1% 100mW","standard",,
R8,"0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
R9,"0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
R10,"0603-1%-100K 100K","0603 100K 1% 100mW","standard",,
R11,"0603-1%-1M 1M","0603 1M 1% 100mW","standard",,
R12,"0805-1%-17R6 17R6","0805 17R8 1% 100mW","Farnell 2303354",,
R13,"0805-1%-1R15 1R15","0805 1R15 1% 100mW","Farnell 2141631",,
R14,"0603-1%-20K 20K","0603 20K 1% 100mW","standard",,
R15,"0603-1%-5K23 5K23","0603 5K23 1% 100mW","standard",,
R16,"0603-1%-7K5 7K5","0603 7K5 1% 100mW","standard",,
R17,"0603-1%-330R 330R","0603 330R 1% 100mW","standard",,
R18,"0603-1%-330R 330R","0603 330R 1% 100mW","standard",,
SW1,,"Alcoswitch FSM4JSMA","Farnell 3801305",,
U1,,"Microchip MCP73831T-2ACI/OT","Farnell 1332158",,
U2,,"Maxim MAX6775XKB+T","Farnell 2799268",,
U3,,"Microchip MCP1824T-ADJE/OT","Farnell 1578393",,
U5,,"TI LMT87DCKR","Farnell 2782528",,
U6,,"TI LM358ADR","Farnell 7527007",,
U7,,"On Semi MC74VHC1GT00DF","Farnell 2724115",,
U8,,"Microchip PIC12F1571-I/SN","Farnell 2419682",,
